ITEM_ID,CREATION_TIMESTAMP,DESCRIPTION
campuspulse-i33-e8558082,1668294000000,"Come join UMass PSO for our first ever Komedy and Khana Night! Enjoy amazing performances by and up comedians, feast on a range of delicious Pakistani food and dance the night away on our dance floor! Cultural PSO is a student-run organisation for all UMass members of Pakistani origins and those with interests in Pakistani culture and identity. Registered Student Organizations, Cultural Council"
campuspulse-i33-e8122340,1668117600000,"The show dates would be November 10th, 11th, and 12th. Doors would open at 6:30pm and the shows would begin at 7:00pm. There will be an additional matinee performance on November 12th at 1:00pm with the doors opening at 12:30pm. Arts, Performance The UMass Theatre Guild is UMass' first student-run theatre organization. Each semester we produce a play and a musical with numerous opportunities both onstage and off.Registered Student Organizations, Arts & Media Council"
campuspulse-i33-e8122339,1668117600000,"The show dates would be November 10th, 11th, and 12th. Doors would open at 6:30pm and the shows would begin at 7:00pm. There will be an additional matinee performance on November 12th at 1:00pm with the doors opening at 12:30pm. Arts, Performance The UMass Theatre Guild is UMass' first student-run theatre organization. Each semester we produce a play and a musical with numerous opportunities both onstage and off.Registered Student Organizations, Arts & Media Council"
campuspulse-i33-e8517920,1668353400000,"This is BASIC's biweekly Sunday Service where the members come together to listen to a preaching and discuss the word of God in order to grow spiritually.& Spirituality, Faith-based service Who Are We? Brothers and Sisters in Christ (B.A.S.I.C) is a Christian Registered Organization at University of Massachusetts Amherst. Mission Statement Our mission is to share the gospel of Jesus Christ to the students on this local campus Registered Student Organizations, Religious & Spiritual Council"
campuspulse-i33-e8550892,1668362400000,"In this free, half-day silent meditation retreat designed for undergraduate college students, you will learn mindfulness practices, including various meditation techniques.& Whether you are new to mindfulness or already have some experience, this retreat is designed to be useful to all undergraduate students."
campuspulse-i33-e8578557,1668366000000,"Come to TASC's weekly practice on Sundays from 2-5 pm! No prior experience necessary. We practice and teach Chinese yo-yo and dragon dance. Hang out with us! Arts TASC aims to promote awareness of Asian culture through education, performance, and choreography. We welcome everyone who is interested in Asian performing arts such as diabolo and dragon dance. Registered Student Organizations, Arts & Media Council"
campuspulse-i33-e8572096,1668369600000,"SAFI is exciting to present a fun event celebrating Mizrahi heritage month and Israeli cuisine! Join us in a fun, hands-on afternoon full of falafel and goodies. Feel free to bring your friends. If you are able, please RSVP so we have enough food. RSVP here:&https://forms.gle/sNG1gQ6o6bxSb7Wz7 Cultural, Cultural-based, Free Food The Student Alliance for Israel (SAFI) exists to give pro-Israel members of UMass Amherst a voice on campus and in the greater community. Registered Student Organizations, Advocacy Council"
campuspulse-i33-e8588445,1668373200000,"Come join BSU for a movie night and some fun! Cultural This is the NEW revamped, revised, transformed, newly invigorated and energized Black Student Union (BSU). We are committed to serving, representing, and advocating on behalf of students of color and addressing issues that affect our community. Registered Student Organizations, Cultural Council"
campuspulse-i33-e8125022,1668380400000,"Weekly chapter meeting for the sorority Social The mission of Alpha Epsilon Phi Sorority is to inspire and support exemplary women dedicated to friendship and a lifelong commitment to Alpha Epsilon Phi while building on the vision of our Jewish founders.-- February 1996 Registered Student Organizations, Panhellenic Council, Greek Life - Sorority"
campuspulse-i33-e8368960,1668380400000,"Event hosted by ICAS with multiple dance organizations performing from the 5 college consortium.& Cultural, Cultural-based, Performance, Music ICAS is a platform for students, teachers, and anyone interested in or curious about the Indian Classical Arts. We aim to spread awareness of the artistic traditions of India and its neighbors while contributing to the artistic scene in the 5-Col Area.Registered Student Organizations, Arts & Media Council"
campuspulse-i33-e8099293,1668387600000,"This is to reserve the Black Box Theater in the Student Union for our recurring late night movies, happening every Friday and Sunday night in Fall 2022.& Social, Movie, Free Food The University Programming Council is the student organization responsible for bringing some of the biggest events to campus. All events and programs produced by UPC are planned for students by students! Center for Student Development, Registered Student Organizations"
campuspulse-i33-e8584593,1668380400000,"Run throughs for our Noche Latina event on November 19th.&Cultural, Rehearsal/Practice This organization is hoping to preserve and promote all Latino/Hispanic cultures, through programming that reflects such cultures, and addressits cultural, political, economic, and social realities. Registered Student Organizations, Cultural Council"
campuspulse-i33-e8469266,1668465000000,"Meeting time for students/members can meet to have special designated prayer sessions by members of Brother and Sisters in Christ. Spirituality Who Are We? Brothers and Sisters in Christ (B.A.S.I.C) is a Christian Registered Organization at University of Massachusetts Amherst. Mission Statement Our mission is to share the gospel of Jesus Christ to the students on this local campus Registered Student Organizations, Religious & Spiritual Council"
campuspulse-i33-e8584788,1668466800000,"Come to TASC's weekly practice on Sundays from 2-5 pm! No prior experience necessary. We practice and teach Chinese yo-yo and dragon dance. Hang out with us！ Arts TASC aims to promote awareness of Asian culture through education, performance, and choreography. We welcome everyone who is interested in Asian performing arts such as diabolo and dragon dance. Registered Student Organizations, Arts & Media Council"
campuspulse-i33-e8544545,1668470400000,"The Not Ready for Bedtime Players (NRBP), a longstanding sex-positive student theater troupe, will be hosting their second annual Sexpo on Monday, November 14th from 7-9 at the UMass Amherst Old Chapel! Representatives from campus and local organizations that support sexual health and education will be present to talk about their services. There will also be performances by the Not Ready for Bedtime Players, and a raffle where winners can walk away with sex toys from Oh My! or a Captain Condom t-shirt."
